activity_uuid_product_uuid,activity_uuid,lca_act_name,lca_geo,lca_act_type,product_uuid,ecoinvent_prod
402b2f13-5989-5c33-b14c-18c10e5bcd00_71e2f1db-a2c5-44d0-8337-dfff15be974d,402b2f13-5989-5c33-b14c-18c10e5bcd00,"treatment of waste paint, hazardous waste incineration, with energy recovery",europe without switzerland,ordinary transforming activity,71e2f1db-a2c5-44d0-8337-dfff15be974d,"heat, district or industrial, other than natural gas"
42994b67-4264-54f0-96e4-a1256ddd013d_2c3a5ee5-59d7-4b44-8403-9045dbf5d105,42994b67-4264-54f0-96e4-a1256ddd013d,"market for sawnwood, lath, softwood, raw, dried (u=10%)",ch,market activity,2c3a5ee5-59d7-4b44-8403-9045dbf5d105,"sawnwood, lath, softwood, raw, dried (u=10%)"
0b6e7934-a52d-5ce8-80d4-22e9edc88126_d69294d7-8d64-4915-a896-9996a014c410,0b6e7934-a52d-5ce8-80d4-22e9edc88126,"electricity production, photovoltaic, 3kWp slanted-roof installation, ribbon-Si, panel, mounted",ch,ordinary transforming activity,d69294d7-8d64-4915-a896-9996a014c410,"electricity, low voltage"
5c23d6c6-bd15-56bf-978f-ccf3339f6f1c_9d63da75-8289-4b96-a900-67ec3bd40a16,5c23d6c6-bd15-56bf-978f-ccf3339f6f1c,"treatment of non-Fe-Co-metals, from used Li-ion battery, hydrometallurgical processing",glo,ordinary transforming activity,9d63da75-8289-4b96-a900-67ec3bd40a16,sulfuric acid
27af2dee-c4fe-51ea-9a5c-a42ee27d530e_f68e14fa-daa3-4f77-b92e-ea115200544e,27af2dee-c4fe-51ea-9a5c-a42ee27d530e,"market for maize silage, Swiss integrated production",ch,market activity,f68e14fa-daa3-4f77-b92e-ea115200544e,"maize silage, Swiss integrated production"
33fe371b-18d6-5ac7-8d7a-53dfd221018c_d16a46cf-4cbd-592c-8b46-f91333d63b5d,33fe371b-18d6-5ac7-8d7a-53dfd221018c,"glued laminated timber production, average glue mix",row,ordinary transforming activity,d16a46cf-4cbd-592c-8b46-f91333d63b5d,"glued laminated timber, average glue mix"
87408252-72db-54a7-a2fc-4a85dbfcd344_a437eaa8-7560-4075-a24d-dd8534517845,87408252-72db-54a7-a2fc-4a85dbfcd344,stucco production,ch,ordinary transforming activity,a437eaa8-7560-4075-a24d-dd8534517845,stucco
27aaeb48-e361-5b37-b516-0bbe2cac733a_360ead90-c4b3-4103-9e8f-3e0055506985,27aaeb48-e361-5b37-b516-0bbe2cac733a,"market for impact extrusion of steel, warm, deformation stroke",glo,market activity,360ead90-c4b3-4103-9e8f-3e0055506985,"impact extrusion of steel, warm, deformation stroke"
e8ccb438-6bee-5b3d-b35b-d33e3a64a796_2cfef82e-cb0d-4864-8163-9651fc6c25eb,e8ccb438-6bee-5b3d-b35b-d33e3a64a796,"NMC811 hydroxide production, for Li-ion battery",row,ordinary transforming activity,2cfef82e-cb0d-4864-8163-9651fc6c25eb,"sodium sulfate, anhydrite"
412ec991-9a42-57c9-825c-a5a32f7b5d22_1247c26e-4301-4399-89c8-054ddafa2405,412ec991-9a42-57c9-825c-a5a32f7b5d22,"cement production, CEM III/B",ch,ordinary transforming activity,1247c26e-4301-4399-89c8-054ddafa2405,"cement, CEM III/B"
b6fe26ac-c72c-5177-83ba-b3b22581d353_18dc1317-84b4-4681-a5f4-e296cf12f69e,b6fe26ac-c72c-5177-83ba-b3b22581d353,"asbestos production, crysotile type",glo,ordinary transforming activity,18dc1317-84b4-4681-a5f4-e296cf12f69e,"asbestos, crysotile type"
64d945a3-af52-5d9b-838c-e86979bbdf1d_51d011ea-b1ac-42a4-88d4-533d95994812,64d945a3-af52-5d9b-838c-e86979bbdf1d,market for dichloropropene,glo,market activity,51d011ea-b1ac-42a4-88d4-533d95994812,dichloropropene
83232586-d649-5ea4-a34b-ffeb0d5db485_213ec740-73fd-4e70-a086-ceb61e7405b2,83232586-d649-5ea4-a34b-ffeb0d5db485,"market for potato seed, at farm",glo,market activity,213ec740-73fd-4e70-a086-ceb61e7405b2,"potato seed, at farm"
1d19c891-bfbd-5de8-a09a-43113b64699d_637ee275-a239-4dcb-b084-abfa110dd65b,1d19c891-bfbd-5de8-a09a-43113b64699d,"treatment of waste polyvinylfluoride, municipal incineration with fly ash extraction",ch,ordinary transforming activity,637ee275-a239-4dcb-b084-abfa110dd65b,"electricity, for reuse in municipal waste incineration only"
e875ef8a-44b6-5f73-b00e-22bad7395a6b_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,e875ef8a-44b6-5f73-b00e-22bad7395a6b,"electricity, medium voltage, residual mix",fr,ordinary transforming activity,759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage"
1a210b12-f13f-5e8f-a8d9-cff97e4099f8_45fbbc41-7ae9-46cc-bb31-abfa11e69de0,1a210b12-f13f-5e8f-a8d9-cff97e4099f8,"treatment of waste vapour barrier, flame-retarded, municipal incineration",row,ordinary transforming activity,45fbbc41-7ae9-46cc-bb31-abfa11e69de0,"heat, for reuse in municipal waste incineration only"
12633e61-d28b-5a65-8843-b89e99f3e2c3_e53a275d-a2c3-40d4-8dc0-df01de6068c9,12633e61-d28b-5a65-8843-b89e99f3e2c3,ethylene glycol production,row,ordinary transforming activity,e53a275d-a2c3-40d4-8dc0-df01de6068c9,triethylene glycol
9ac3a9d4-a138-5506-b775-5d1b58d78120_30f4a0f3-cd30-4c2d-81dc-b50105c320cf,9ac3a9d4-a138-5506-b775-5d1b58d78120,"heat pump production, brine-water, 10kW",row,ordinary transforming activity,30f4a0f3-cd30-4c2d-81dc-b50105c320cf,"heat pump, brine-water, 10kW"
3710a1d4-ab24-5fd6-bad7-f679264ba825_309513c0-4791-4124-86ff-ce975b0b39ce,3710a1d4-ab24-5fd6-bad7-f679264ba825,market for scrap preparation facility,glo,market activity,309513c0-4791-4124-86ff-ce975b0b39ce,scrap preparation facility
71a0940f-7d7a-534f-b11e-60c99fc3151d_cfe51aa8-55b2-43ef-82f3-0d6c4c80ca67,71a0940f-7d7a-534f-b11e-60c99fc3151d,market for blow moulding,glo,market activity,cfe51aa8-55b2-43ef-82f3-0d6c4c80ca67,blow moulding
5c672754-2c98-5828-89eb-dcc9fbaecc89_ef644ee9-9e11-4442-9c96-a29f8528dde7,5c672754-2c98-5828-89eb-dcc9fbaecc89,"carbon dioxide production, liquid",row,ordinary transforming activity,ef644ee9-9e11-4442-9c96-a29f8528dde7,"carbon dioxide, liquid"
d12e3c3a-b527-58bf-a566-533713ee1020_18e1cfa1-498b-4d93-bace-44cd2ae12596,d12e3c3a-b527-58bf-a566-533713ee1020,anaerobic digestion of manure,ch,ordinary transforming activity,18e1cfa1-498b-4d93-bace-44cd2ae12596,biogas
558dbb1a-a777-5d0f-bfee-fccf83487456_0cf88bc1-8583-49dc-a714-6ce1a77ac4c9,558dbb1a-a777-5d0f-bfee-fccf83487456,"treatment of sewage sludge, 70% water, WWT, WW from LCD backlight production, municipal incineration FAE",ch,ordinary transforming activity,0cf88bc1-8583-49dc-a714-6ce1a77ac4c9,"sewage sludge, 70% water, WWT, WW from LCD backlight production"
2c421de6-9253-5f22-9f9e-6b4d076ac3d9_c778daa6-ed62-40fb-8ea3-7fc3ff3806d0,2c421de6-9253-5f22-9f9e-6b4d076ac3d9,"treatment of sewage sludge, 75% water, WWT, WW from maize starch production, sanitary landfill",glo,ordinary transforming activity,c778daa6-ed62-40fb-8ea3-7fc3ff3806d0,"sewage sludge, 75% water, WWT, WW from maize starch production"
f992d86d-985e-5e7c-b98c-b07dc40a56dc_dcd438b9-92a5-41f6-932b-a4acb5d81636,f992d86d-985e-5e7c-b98c-b07dc40a56dc,"wood preservation, dipping/immersion, water-based preservative, indoor use, occasionally wet",rer,ordinary transforming activity,dcd438b9-92a5-41f6-932b-a4acb5d81636,"wood preservation, dipping/immersion method, water-based, indoor use, occasionally wet"
8a9d6803-c859-5af2-8e52-10cf8cdc6e02_f5e6f99a-f834-4a4d-8933-4a170816787c,8a9d6803-c859-5af2-8e52-10cf8cdc6e02,"market for brass removed by drilling, computer numerical controlled",glo,market activity,f5e6f99a-f834-4a4d-8933-4a170816787c,"brass removed by drilling, computer numerical controlled"
687d01f2-ed19-51ef-bc5a-476a1372cf71_777bc26c-02e7-441e-a487-e4d4a87dae49,687d01f2-ed19-51ef-bc5a-476a1372cf71,"treatment of waste emulsion paint, sanitary landfill",ch,ordinary transforming activity,777bc26c-02e7-441e-a487-e4d4a87dae49,waste emulsion paint
e9f0196f-9f3b-577f-9d30-62e499b912a8_d52287cc-5068-44eb-8f18-93974f93b1b5,e9f0196f-9f3b-577f-9d30-62e499b912a8,"market for plug, inlet and outlet, for printer cable",glo,market activity,d52287cc-5068-44eb-8f18-93974f93b1b5,"plug, inlet and outlet, for printer cable"
7ea4cc5d-0835-581f-9412-16a65faf7364_49aa5ec0-e042-47ef-a95a-8aa6182d4c17,7ea4cc5d-0835-581f-9412-16a65faf7364,"market for wood chips and particles, willow",rer,market activity,49aa5ec0-e042-47ef-a95a-8aa6182d4c17,"wood chips and particles, willow"
c7e7ac42-8b39-5006-804b-edf5d1107e74_44ab3c7a-66d6-45b1-8e1b-17c9f225d2b6,c7e7ac42-8b39-5006-804b-edf5d1107e74,"packaging glass production, green",row,ordinary transforming activity,44ab3c7a-66d6-45b1-8e1b-17c9f225d2b6,"packaging glass, green"
eda25984-4da0-5ee8-943c-1e3fdbfcdd1c_82fc8ffd-e1f4-4a11-ac26-6734d9b2fe89,eda25984-4da0-5ee8-943c-1e3fdbfcdd1c,"treatment of filter dust from Al electrolysis, residual material landfill",ch,ordinary transforming activity,82fc8ffd-e1f4-4a11-ac26-6734d9b2fe89,filter dust from Al electrolysis
cb71f690-168a-5acc-bf2c-cd0f4991a4ca_5806d08f-343d-42a0-a2c8-185b7cad5830,cb71f690-168a-5acc-bf2c-cd0f4991a4ca,"polystyrene foam slab production, 45% recycled",ch,ordinary transforming activity,5806d08f-343d-42a0-a2c8-185b7cad5830,polystyrene foam slab
