clustered_id;clustered;is_product;comments;typo_correction;is_activity
1f6e5c2ab33fbb8427755d4372c532e8b35fb324;secure transport services;0;;;FALSE
54f4be0b30256e37699cf71a3a3b1b3fa0294e76;remapping auto computer tuning;0;;;FALSE
470c84badc471ca7806e745dd33357d214764cc7;ant disinfestation;0;;;FALSE
2ac2cdda5ab33994fc6774e7b28fa82c1bbda2c9;pre-fabricated timber constructions;0;;;FALSE
5b7fdaec9a482ffddc1db1e9d8694a614d7670e8;wire rope assemblies;0;;;FALSE
7cdd82af9f33dd5ccddc6845db4d26b33597211e;biomedical engineering products;0;;;FALSE
815191b7e88526b403f2cee95cf438b56b2ac6df;mycorrhiza;0;;;FALSE
5eeba2afd028072fa1e48285568e4bf7f06277bd;organic biofertilizer;0;;;FALSE
d7bcd5b91fe27d82591bb09153980edcf007d3ca;osenum;0;;;FALSE
a5f9f5ff9005cfdb19da39b9ac1a3f1075e1ef62;milking halls;0;;;FALSE
f01b8e460360ff5300eaa05189f06c7aff688d76;milking circuits;0;;;FALSE
a47c870236b5ca0b7ce7dfb7ec46c7d0eedd2d1b;cast iron part moulding line;0;;;FALSE
e62bb710204031642e6c13aa1f7bdde123967931;elastomer parts produced from drawings;0;;;FALSE
737fde031259585c4c4b94748fa9db5a1e68a597;barcode printing;0;;;FALSE
fdf85f38eab5c3305ffae34be4da42bc841c279d;electrostatic discharging;0;;;FALSE
43b2d7c4e7cb9c03d338ddbb7211368ed9b88239;electrostatic charging;0;;;FALSE
6b8c276ee4d445e87f18be847d5da8b713def6a5;electrostatic cleaning;0;;;FALSE
88a3616ba74ae02f7368df0a7df2ec4414a36d2c;ionisation;0;;;FALSE
1065b901bcd94e897d63b7f11e7f1d7a85859e4a;electrostatics;0;;;FALSE
3a93225bfbf453ac3ecc2500c0c7436ea0d5ff97;discharging;0;;;FALSE
511bbc23a67d09ac797f7846f3c75a153ec78f2a;charging;0;;;FALSE
668a4641de7fad74b0c324026b5cf1aebfcaef04;earthing;0;;;FALSE
9758d50e1a44837643b1b7af909ae15c4872b42a;industrial complexes;0;;;FALSE
d93622b7f691e90fed4addc25177ec29a4433f33;optical;0;;;FALSE
33fbbffb817eed99bd043f6d4704259a7221ef93;spare parts for industrial machines;0;;;FALSE
cbe5634cfde13b3f7570daae4dbcf14dfb376fe4;induction hardening;0;;;FALSE
dc096c18b483d91a11c70feecacc9a32172ca693;ham curing;0;;;FALSE
3c0ebfef29bafcf1afb7b441c982ff520810b61a;ham factories;0;;;FALSE
f5f4098cfbade9c20db43e3b766f58d126c680e2;industrial cabling;0;;;FALSE
abfb1ddb918244dccf4c1bb68d689ac6a6e98d65;calciners;0;;;FALSE
b68efaa10bbc3e4011923f7fbcd6a447f548d23c;rotary dryers;0;;;FALSE
8ad64043f250c04676d7ad6c368d7acdf307f286;aerials;0;;;FALSE
8286d5de1fc315290aea216711e9481337f73c40;erection of industrial building fencing;0;;;FALSE
c1d1e79094f18c3c986fdccb9195e3d819fe588b;metal meshing for fencing;0;;;FALSE
51288d140528c2d5c0565891be70300a9b0e365f;spain;0;;;FALSE
0a959e8c7791b16bd1322bc86995db70ae9ee7b9;cylindrical profile grinding;0;;;FALSE
9d17afa09aa9d375654c1d2eb0147506235d353e;cnc round profile grinding;0;;;FALSE
fbaba30c433d37b409e66a1f5e1d6cf3244a5c0e;centerless grinding;0;;;FALSE
cfe6940c08b32a857e41caf8c819542a3c6a4cc5;grinding shops for bars;0;;;FALSE
